Filename,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Average Word Length
blackassign0032.txt,63,27,0.3999999955555556,0.13138686112206296,7.527472527472527,0.9416058394160584,3.387631346755434,7.527472527472527,645,685,2.191240875912409,0,6.759124087591241
blackassign0033.txt,58,23,0.43209876009754616,0.10074626853141011,10.578947368421053,0.986318407960199,4.626106310552501,10.578947368421053,793,804,2.2748756218905473,0,7.111940298507463
blackassign0034.txt,44,23,0.3134328311427936,0.12226277349952049,9.963636363636363,0.9854014598540146,4.379615129396151,9.963636363636363,540,548,2.2992700729927007,0,7.107664233576642
blackassign0035.txt,26,12,0.36842104293628836,0.10951008613974039,7.886363636363637,0.968299711815562,3.5418653392716792,7.886363636363637,336,347,2.322766570605187,0,7.0
blackassign0036.txt,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
blackassign0037.txt,38,13,0.49019606881968497,0.1574074069215821,9.257142857142858,0.9783950617283951,4.0942151675485015,9.257142857142858,317,324,2.0833333333333335,0,6.694444444444445
blackassign0038.txt,67,41,0.24074073851165984,0.10810810799989179,12.4875,0.9469469469469469,5.373778778778779,12.4875,946,999,2.2812812812812813,0,6.902902902902903
blackassign0039.txt,45,63,-0.16666666512345682,0.11777535428814029,10.188888888888888,0.9956379498364231,4.473810735490125,10.188888888888888,913,917,2.3053435114503817,0,6.985823336968375
blackassign0040.txt,36,22,0.24137930618311543,0.09780775700201053,10.403508771929825,0.9966273187183811,4.560054436259283,10.403508771929825,591,593,2.4873524451939293,0,7.600337268128162
blackassign0041.txt,31,29,0.03333333277777779,0.09803921552607972,7.65,0.9444444444444444,3.4377777777777783,7.65,578,612,2.1862745098039214,0,6.7745098039215685
blackassign0042.txt,63,24,0.44827585691636945,0.13063063043448855,10.40625,0.9774774774774775,4.5534909909909915,10.40625,651,666,2.385885885885886,0,7.181681681681682
blackassign0043.txt,66,22,0.4999999943181819,0.11780455138178775,9.3375,0.9357429718875502,4.10929718875502,9.3375,699,747,2.285140562248996,0,6.990629183400268
blackassign0044.txt,26,0,0.9999999615384629,0.0981132071769313,12.619047619047619,0.9622641509433962,5.432524707996406,12.619047619047619,255,265,2.483018867924528,0,7.520754716981132
blackassign0045.txt,79,39,0.33898304797471995,0.15902964938136166,92.75,0.9501347708894878,37.4800539083558,92.75,705,742,2.219676549865229,0,6.880053908355795
blackassign0046.txt,20,0,0.9999999500000024,0.05586592163165944,7.955555555555556,0.9972067039106145,3.5811049037864677,7.955555555555556,357,358,2.3072625698324023,0,7.114525139664805
blackassign0047.txt,14,6,0.399999980000001,0.055710306251503326,8.975,0.9860724233983287,3.9844289693593313,8.975,354,359,2.562674094707521,0,7.7325905292479105
blackassign0048.txt,0,3,-0.9999996666667778,0.04109588984800151,12.166666666666666,1.0,5.266666666666667,12.166666666666666,73,73,2.6301369863013697,0,7.465753424657534
blackassign0049.txt,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
blackassign0050.txt,24,69,-0.4838709625390219,0.13757396429352964,12.290909090909091,0.9955621301775148,5.314588488434643,12.290909090909091,673,676,2.264792899408284,0,7.039940828402367
blackassign0051.txt,17,15,0.06249999804687507,0.09275362291955472,12.321428571428571,0.9681159420289855,5.315817805383023,12.321428571428571,334,345,2.2492753623188406,0,6.852173913043479
blackassign0052.txt,57,38,0.19999999789473688,0.11994949479804357,7.26605504587156,0.9696969696969697,3.2943008062274117,7.26605504587156,768,792,2.313131313131313,0,7.092171717171717
